Project;Complete_name;Start_Date;End_Date;mm;Years;Theme;Role;Time;Type;Budget;DAStU_Buget;Description;Website;Dastu team;Key_topics
Community Participation in Planning (CPiP);;01/2015;02/2017;;2015-2017;;;Past;Erasmus+ programme;;;CPiP aimed at experimenting new educational model to drive students in urban planning and design towards inclusive planning practices.;;;
MyNeighborhood | MyCity;;01/2013;06/2015;30;2013-2015;;;Past;VII Framework Program;€4,850,000.00;€406,200.00;MyNeighbourhood | MyCity combines the concept of smart cities with the evocative idea of local communities that innovate services at the neighborhood scale to be scaled up to the urban scale.;https://cordis.europa.eu/project/id/325227;;
SMART CAMPUS;;08/2012;04/2015;30;2012-2015;;;Past;VII Framework Program;€3,088,000.00;€363,500.00;Developing from the interaction among building infrastructures and building users, Smart Campus aims at testing the use of ICTs solutions for energy efficient behaviors in public buildings.;https://cordis.europa.eu/project/id/297251;;
PERIPHERIA;;11/2010;05/2013;30;2010-2013;;;Past;VII Framework Program;€4,984,000.00;€439,000.00;PERIPHERIA aimed at developing smart services and platforms for sustainable lifestyles in networked smart cities in Europe.;https://cordis.europa.eu/project/id/271015;;
YAK Around;Il Teatro Attraverso lo spazio fragile;;;;;;;Past;;;;;https://2021.prizes.new-european-bauhaus.eu/index.php/node/269455;;
IMAGINE;Developing a metropolitan-regional imaginary in Milan-Bologna urban region;05/2020;05/2021;;2020-2021;;Coordinator;Past;ESPON (European Territorial Observatory Network);€210,000.00;;ESPON IMAGINE is a research/action project aimed at developing a common narrative as well as the basis for an integrated territorial strategy within the Milan-Bologna area, addressing most recent economic trends and their territorial impacts.;https://www.espon.eu/imagine;;
Safari Njema;Supporting Sub-Saharan paratransit mobility policies through big data analysis;03/2019;05/2020;;2019-2020;;Coordinator;Past;Polisocial Award 2018;;;From informal mobility to mobility policies through big data analysis. Tramite l’analisi e la produzione di nuovi dati – a partire dalle informazioni offerte dall’utilizzo della telefonia mobile – il progetto esplora soluzioni bottom-up e place-based replicabili e alternative ai modelli formali di mobilità nelle grandi città africane, dove oggi l’80% della mobilità si basa su sistemi informali spesso poco affidabili ed inefficienti.;https://www.safari-njema.polimi.it/;Grazia Concilio, Valeria Fedeli, Francesco Fagiani;
PLAYTIME;Action framework for public space;;;;;;;;;;;;;;
Grande Parco Forlanini;;;;;;;;;;;;;;;
Dergano;;;;;;;;;;;;;;;
Agenda 2030;Verso l’Agenda Metropolitana Urbana per lo Sviluppo Sostenibile;;;;2021-2022;;"Leadership of stakeholder engagement activities; Development of the School of Sustainability (S.o.S)";Past;;;;;https://www.cittametropolitana.mi.it/Agenda_metropolitana_sviluppo_sostenibile/Agenda2030/index.html;Valeria Fedeli, Irene Bianchi;Sustainable Development, SDGs, Urban sustainability transition
